trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.3, 'e': 1}",20,0,-48.750341211361935,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.3, 'e': 1}",25,0,-88.35628686267329,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.3, 'e': 1}",25,0,-180.91090327115242,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
49,False,"{'a': 0.3, 'e': 1}",20,0,-71.25567905282973,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.3, 'e': 1}",20,0,-157.38557577489397,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 0.3, 'e': 1}",20,0,-98.81565943503468,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.3, 'e': 1}",25,0,-81.69964011633127,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 0.3, 'e': 1}",35,0,-142.71223219459503,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
54,False,"{'a': 0.3, 'e': 1}",25,0,-231.10770507682503,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
55,False,"{'a': 0.3, 'e': 1}",20,0,-185.5459763734786,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
56,False,"{'a': 0.3, 'e': 1}",25,0,-175.16481684623113,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",1
57,False,"{'a': 0.3, 'e': 1}",20,0,-171.10099602285445,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
58,False,"{'a': 0.3, 'e': 1}",20,12,-13.883644876878721,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 1}",25,0,-190.9789607167083,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
60,False,"{'a': 0.3, 'e': 1}",35,0,-332.05833072464037,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 6}",0
61,False,"{'a': 0.3, 'e': 1}",25,0,-135.22149112196746,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
62,False,"{'a': 0.3, 'e': 1}",30,0,-125.32323988858637,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
63,False,"{'a': 0.3, 'e': 1}",25,14,-34.892623546538324,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.3, 'e': 1}",30,0,-79.3185100095371,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.3, 'e': 1}",25,0,-90.3547981203865,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
